[Sun Mar 22 05:25:42 PM EDT 2026] Starting KeypointDetect retraining from /home/user/src/JARVIS-HybridNet/projects/mouseJan30/models/KeypointDetect/Run_20260311-151206/EfficientTrack-medium_final.pth

============================================================
Stage 2: KeypointDetect  |  weights=/home/user/src/JARVIS-HybridNet/projects/mouseJan30/models/KeypointDetect/Run_20260311-151206/EfficientTrack-medium_final.pth  |  epochs=100
============================================================
[92mSuccessfully loaded project mouseJan30.[0m
[Info] Training KeypointDetect on project mouseJan30 for 100 epochs!
[Info] Successfully loaded weights: /home/user/src/JARVIS-HybridNet/projects/mouseJan30/models/KeypointDetect/Run_20260311-151206/EfficientTrack-medium_final.pth

  0%|          | 0/54526 [00:00<?, ?it/s]
Epoch: 1/100. Loss: 7.36192. Acc: 5.851:   0%|          | 28/54526 [00:09<1:31:55,  9.88it/s]
Epoch: 1/100. Loss: 7.36192. Acc: 5.851:   0%|          | 30/54526 [00:09<1:31:43,  9.90it/s]
Epoch: 1/100. Loss: 7.17576. Acc: 5.789:   0%|          | 30/54526 [00:09<1:31:43,  9.90it/s]
Epoch: 1/100. Loss: 7.89198. Acc: 6.007:   0%|          | 30/54526 [00:09<1:31:43,  9.90it/s]
Epoch: 1/100. Loss: 7.89198. Acc: 6.007:   0%|          | 32/54526 [00:09<1:31:20,  9.94it/s]
Epoch: 1/100. Loss: 8.01027. Acc: 5.961:   0%|          | 32/54526 [00:09<1:31:20,  9.94it/s]
Epoch: 1/100. Loss: 8.54886. Acc: 6.025:   0%|          | 32/54526 [00:09<1:31:20,  9.94it/s]
Epoch: 1/100. Loss: 8.54886. Acc: 6.025:   0%|          | 34/54526 [00:09<1:30:31, 10.03it/s]
Epoch: 1/100. Loss: 8.67787. Acc: 6.010:   0%|          | 34/54526 [00:10<1:30:31, 10.03it/s]
Epoch: 1/100. Loss: 8.63305. Acc: 5.977:   0%|          | 34/54526 [00:10<1:30:31, 10.03it/s]
Epoch: 1/100. Loss: 8.63305. Acc: 5.977:   0%|          | 36/54526 [00:10<1:29:58, 10.09it/s]
Epoch: 1/100. Loss: 8.54108. Acc: 6.018:   0%|          | 36/54526 [00:10<1:29:58, 10.09it/s]
Epoch: 1/100. Loss: 8.66003. Acc: 6.009:   0%|          | 36/54526 [00:10<1:29:58, 10.09it/s]
Epoch: 1/100. Loss: 8.66003. Acc: 6.009:   0%|          | 38/54526 [00:10<1:30:33, 10.03it/s]
Epoch: 1/100. Loss: 8.60760. Acc: 5.991:   0%|          | 38/54526 [00:10<1:30:33, 10.03it/s]
Epoch: 1/100. Loss: 8.53837. Acc: 5.957:   0%|          | 38/54526 [00:10<1:30:33, 10.03it/s]
Epoch: 1/100. Loss: 8.53837. Acc: 5.957:   0%|          | 40/54526 [00:10<1:31:04,  9.97it/s]
Epoch: 1/100. Loss: 8.33021. Acc: 5.957:   0%|          | 40/54526 [00:10<1:31:04,  9.97it/s]
Epoch: 1/100. Loss: 8.37722. Acc: 5.969:   0%|          | 40/54526 [00:10<1:31:04,  9.97it/s]
Epoch: 1/100. Loss: 8.37722. Acc: 5.969:   0%|          | 42/54526 [00:10<1:31:01,  9.98it/s]
Epoch: 1/100. Loss: 8.50052. Acc: 6.002:   0%|          | 42/54526 [00:10<1:31:01,  9.98it/s]
Epoch: 1/100. Loss: 8.50052. Acc: 6.002:   0%|          | 43/54526 [00:10<1:31:09,  9.96it/s]
Epoch: 1/100. Loss: 8.65014. Acc: 6.046:   0%|          | 43/54526 [00:10<1:31:09,  9.96it/s]
Epoch: 1/100. Loss: 8.65014. Acc: 6.046:   0%|          | 44/54526 [00:10<1:31:16,  9.95it/s]
Epoch: 1/100. Loss: 8.84347. Acc: 6.054:   0%|          | 44/54526 [00:11<1:31:16,  9.95it/s]
Epoch: 1/100. Loss: 8.73040. Acc: 6.034:   0%|          | 44/54526 [00:11<1:31:16,  9.95it/s]
Epoch: 1/100. Loss: 8.73040. Acc: 6.034:   0%|          | 46/54526 [00:11<1:30:19, 10.05it/s]
Epoch: 1/100. Loss: 8.60195. Acc: 5.990:   0%|          | 46/54526 [00:11<1:30:19, 10.05it/s]
Epoch: 1/100. Loss: 8.62195. Acc: 6.064:   0%|          | 46/54526 [00:11<1:30:19, 10.05it/s]
Epoch: 1/100. Loss: 8.62195. Acc: 6.064:   0%|          | 48/54526 [00:11<1:30:07, 10.07it/s]
Epoch: 1/100. Loss: 8.51814. Acc: 6.049:   0%|          | 48/54526 [00:11<1:30:07, 10.07it/s]
Epoch: 1/100. Loss: 8.38324. Acc: 5.999:   0%|          | 48/54526 [00:11<1:30:07, 10.07it/s]
Epoch: 1/100. Loss: 8.38324. Acc: 5.999:   0%|          | 50/54526 [00:11<1:30:02, 10.08it/s]
Epoch: 1/100. Loss: 8.28537. Acc: 5.980:   0%|          | 50/54526 [00:11<1:30:02, 10.08it/s]
